joint checking,3/29/16,CHECK # 0xxxxx1375,Cleaner,-150,,
joint checking,3/28/16,INTEREST PAID,Interest,0.25,,
joint checking,3/21/16,CHASE            AUTOPAY    ***********7376,Credit Card Payments,-540.53,,
joint checking,3/17/16,VA DEPT TAXATION DD REFUND  ***********4713,Taxes,480,,
joint checking,3/15/16,IRS              USATAXPYMT ***********3288,Taxes,-1692,,
joint checking,3/15/16,CHASE            AUTOPAY    ***********3507,Credit Card Payments,-901.72,,
joint checking,3/14/16,AMEX EPayment    ACH PMT    ***********7526,Credit Card Payments,-580.37,,
joint checking,3/10/16,NOVEC            ONLINE PMT ***********3POS,Utilities,-491.27,,
joint checking,3/8/16,CHECK # 0xxxxx1320,Transfers,-1725,,
joint checking,3/4/16,DEPOSIT@MOBILE,Investment Income,1800,,
joint checking,3/2/16,CHECK # 0xxxxx1255,Pets/Pet Care,-20,,
joint checking,2/29/16,Alexander Randolph,Taxes,-200,,
joint checking,2/24/16,INTEREST PAID,Interest,0.27,,
joint checking,2/22/16,CHASE            AUTOPAY    ***********7334,Credit Card Payments,-1070.17,,
joint checking,2/22/16,USAA.COM PAY INT P&amp;C        ***********8232,Insurance,-439.37,,
joint checking,2/19/16,USAA FUNDS TRANSFER DB,Transfers,-1000,,
joint checking,2/18/16,CHECK # 0xxxxx1254,Cleaner,-300,,
joint checking,2/17/16,NOVEC            ONLINE PMT ***********3POS,Utilities,-352.38,,
joint checking,2/16/16,CHASE            AUTOPAY    ***********2971,Credit Card Payments,-1649.77,,
joint checking,2/16/16,AMEX EPayment    ACH PMT    ***********5818,Credit Card Payments,-410.45,,
joint checking,2/16/16,INTERNET WITHDRAWAL,ATM/Cash Withdrawals,-1000,,
joint checking,2/11/16,AMERIGAS         ONLINE PMT ***********3POS,Utilities,-114.78,,
joint checking,2/5/16,FCWA             ONLINE PMT ***********3POS,Utilities,-45.5,,
joint checking,2/1/16,DEPOSIT@MOBILE,Investment Income,1800,,
joint checking,2/1/16,DEPOSIT@MOBILE,Investment Income,1725,,
joint checking,2/1/16,DEPOSIT@MOBILE,Investment Income,100,,
joint checking,1/26/16,INTEREST PAID,Interest,0.29,,
joint checking,1/22/16,Cowherd Electric,Home Maintenance,-318,,
joint checking,1/22/16,Andrea phys therapy from 2015,Healthcare/Medical,-30,,
joint checking,1/21/16,CHASE            AUTOPAY    ***********4656,Credit Card Payments,-1443.74,,
joint checking,1/15/16,CHASE            AUTOPAY    ***********2167,Credit Card Payments,-2706.78,,
joint checking,1/14/16,USAA.COM PAY INT P&amp;C        ***********8232,Interest,-923.76,,
joint checking,1/13/16,USAA FUNDS TRANSFER DB,Transfers,-2760.6,,
joint checking,1/12/16,NOVEC            ONLINE PMT ***********3POS,Utilities,-277.72,,
joint checking,1/12/16,AXA Assistance   EDI PYMNTS ***********6728,Healthcare/Medical,441.42,,
joint checking,1/11/16,AXA Assistance   EDI PYMNTS ***********6410,Healthcare/Medical,349.72,,
joint checking,1/8/16,SANTEON INC      PAYROLL    ***********,Paychecks/Salary,2760.6,3,3
joint checking,1/4/16,USAA FUNDS TRANSFER DB,Transfers,-7000,,
joint checking,1/4/16,DEPOSIT@MOBILE,Investment Income,1800,,
