posted,,3/6/17,,Dropbox*F826HY7L3V6B,Business Advertising,-9.99,
posted,,2/6/17,,Dropbox*B6NQKHB4XSRB,Business Advertising,-9.99,
posted,,1/5/17,,Dropbox*9B31BYSSM25R db.tt/cchelp CA ,Business Advertising,-9.99,
posted,,3/8/17,,COSTCO WHSE #0204,Business Miscellaneous,-60.93,
posted,,3/8/17,,UNITED xxxxxxxxx2378,Business Miscellaneous,-25,
posted,,2/7/17,,COSTCO WHSE #0204,Business Miscellaneous,-24.56,
posted,,3/1/17,,Greenleaf Chopshop Venice,Business Miscellaneous,-14.14,
posted,,2/6/17,,FEDEX xxxxxxxx7447,Business Miscellaneous,-10.75,
posted,,3/6/17,,JAVA CYBER ESPRESSO BA,Business Miscellaneous,-4.6,
posted,,3/5/17,,SQ *BUBBLES NORTH MARKET,Business Miscellaneous,-4.5,
posted,,2/12/17,,KAISER/HPS,Healthcare/Medical,-476.96,
posted,,2/9/17,,KAISER FAIR OAKS,Healthcare/Medical,-60,x
posted,,3/15/17,,KAISER PH FAIR OAKS,Healthcare/Medical,-39.54,x
posted,,2/9/17,,KAISER PH FAIR OAKS,Healthcare/Medical,-20.9,x
posted,,3/2/17,,USAA INSURANCE PYMT,Insurance,-346.61,x
posted,,2/16/17,,USAA INSURANCE PYMT,Insurance,-346.6,x
posted,,1/31/17,,VA DMV FAIR OAKS CSC,Local Transportation for Business,-127.75,x
posted,,3/12/17,,SUNOCO xxxxxx9901,Local Transportation for Business,-36.27,x
posted,,1/29/17,,COSTCO GAS #0204,Local Transportation for Business,-32.62,x
posted,,3/28/17,,COSTCO GAS #0204,Local Transportation for Business,-32.04,x
posted,,3/20/17,,SUNOCO xxxxxx6801,Local Transportation for Business,-31.85,x
posted,,2/5/17,,COSTCO GAS #0204,Local Transportation for Business,-31.66,x
posted,,2/17/17,,COSTCO GAS #0204,Local Transportation for Business,-30.55,x
posted,,1/16/17,,CHEVRON xxx1093,Local Transportation for Business,-28.95,x
posted,,1/20/17,,COSTCO GAS #0204,Local Transportation for Business,-28.89,x
posted,,3/6/17,,UBER US MAR06 L6EV5,Local Transportation for Business,-16.8,
posted,,1/15/17,,UBER US JAN14 USKJ2,Local Transportation for Business,-15.18,
posted,,3/26/17,,SHELL OIL xxxxxxx0303,Local Transportation for Business,-11.38,x
posted,,2/16/17,PMI 3307 M ST. Parking Garage for Brian Ev,PMI 3307 M ST.,Local Transportation for Business,-11,
posted,,2/15/17,,SUNOCO xxxxxx4201,Local Transportation for Business,-10.99,x
posted,,3/6/17,,UBER US MAR05 F7UT3,Local Transportation for Business,-5.8,
posted,,1/12/17,,RALPHS #0279,Local Transportation for Business,-5.37,
posted,,1/13/17,,STINKER #83,Local Transportation for Business,-5.06,
posted,,1/15/17,,CHEVRON xxx5401,Local Transportation for Business,-3.06,-465.22
posted,,1/29/17,,COSTCO WHSE #0204,Meals and Entertainment,-99.79,
posted,,1/20/17,,COSTCO WHSE #0204,Meals and Entertainment,-67.44,
posted,,2/17/17,,COSTCO WHSE #0204,Meals and Entertainment,-59.43,
posted,,1/12/17,,OSCARS CERVETECA,Meals and Entertainment,-45.07,
posted,,1/9/17,,TRADER JOE'S #251 QPS CULVER CITY CA ,Meals and Entertainment,-44.13,
posted,,1/29/17,,TUPELO HONEY CAFE,Meals and Entertainment,-39.83,
posted,,2/2/17,,SUSHI ROCK,Meals and Entertainment,-35,
posted,,1/20/17,,TUSCANY ORD xxxx8448,Meals and Entertainment,-30.09,
posted,,1/15/17,,RALPHS #0744,Meals and Entertainment,-29.26,
