ChaseJointCredit,,1/1/16,,SUNOCO xxxxxx9816,Gasoline/Fuel,-9.25,
USAACredit,,1/2/16,,BRIO FAIR OAKS           FAIRFAX      VA,Restaurants/Dining,-16.58,
ChaseJointCredit,,1/3/16,,BARNES & NOBLE #2948,Gifts,14.79,
ChaseJointCredit,,1/3/16,,SAFEWAY STORExxxx0022,Groceries,-61.44,
Costco,,1/3/16,,COSTCO GAS          FAIRFAX xxxxxxxxx   xxxxxx9999,Gasoline/Fuel,-22.1,
ChaseJointCredit,,1/4/16,,OPC*VIRGINIA SCC,Business Miscellaneous,-100,
ChaseJointCredit,,1/4/16,,DNH*GODADDY.COM,Online Services,-18.34,
ChaseJointCredit,,1/4/16,,OPC MSC*SERVICE FEE 021,Service Charges/Fees,-2.35,
JointChecking,,1/4/16,,DEPOSIT@MOBILE,Investment Income,1800,
JointChecking,,1/4/16,to Andrea,USAA FUNDS TRANSFER DB,Transfers,-7000,
PersonalChecking,,1/4/16,,BCX INC                  BURKE        VA,Automotive Expenses,-64.18,
PersonalChecking,,1/4/16,,USAA FUNDS TRANSFER CR,Transfers,7000,
USAACredit,,1/4/16,don't have a parking category?,DC PARKING METERS        WASHINGTON   DC,Travel,-4,
USAACredit,,1/4/16,,DC PARKING METERS        WASHINGTON   DC,Travel,-1,
ChaseJointCredit,,1/5/16,,SAFEWAY STORExxxx0022,Groceries,-49.39,
ChaseJointCredit,,1/5/16,,AMERICN HOME SHIELD,Home Maintenance,-45.42,
PersonalChecking,,1/5/16,,VANGUARD         EDI PYMNTS ***********9309,Other Income,0.4,
PersonalChecking,,1/5/16,,VANGUARD         EDI PYMNTS ***********9309,Other Income,0.19,
PersonalChecking,,1/5/16,,VANGUARD BUY     INVESTMENT ***********1925,Retirement Contributions,-1550,
PersonalChecking,,1/5/16,,VANGUARD BUY     INVESTMENT ***********1925,Retirement Contributions,-541,
USAACredit,,1/5/16,,DICK'S CLOTHING&amp;SPORTI   FAIRFAX      VA,Clothing/Shoes,-74.19,
ChaseJointCredit,,1/6/16,,APL* ITUNES.COM/BILL,Online Services,-0.99,
PersonalChecking,,1/6/16,,VANGUARD         EDI PYMNTS ***********9309,Other Income,-0.59,
USAACredit,,1/6/16,Bus Expense,CREWS IAD LLC 3351       STERLING     VA,Business Miscellaneous,-29.91,
USAACredit,,1/6/16,Bus Expense,ENGINE CO. NO.28         LOS ANGELES  CA,Dining,-10.34,
